account | noun | /əˈkaʊnt/ | a record of money held by a bank | tài khoản ngân hàng | You can open an account with your ID card. | Bạn có thể mở tài khoản bằng thẻ căn cước.
invest | verb | /ɪnˈvest/ | to put money into something to gain profit | đầu tư | The family invested in a small apartment downtown. | Gia đình đã đầu tư một căn hộ nhỏ ở trung tâm.
borrow | verb | /ˈbɑːroʊ/ | to receive money that must be paid back | vay | They borrowed money to expand the factory. | Họ vay tiền để mở rộng nhà máy.
overdraw | verb | /ˌoʊvərˈdrɔː/ | to take more money out than the account holds | rút quá số dư | The card declined because the account was overdrawn. | Thẻ bị từ chối vì tài khoản đã vượt quá số dư.
repay | verb | /riːˈpeɪ/ | to pay back money that was borrowed | hoàn trả, trả nợ | The loan must be repaid within thirty-six months. | Khoản vay phải được hoàn trả trong vòng ba mươi sáu tháng.
bill | verb | /bɪl/ | to send someone a written request for payment | gửi hoá đơn | The supplier bills us on the fifteenth of each month. | Nhà cung cấp gửi hoá đơn cho chúng tôi vào ngày mười lăm hằng tháng.
owe | verb | /oʊ/ | to need to pay money that was received | nợ | The store owes its supplier for last month's stock. | Cửa hàng còn nợ nhà cung cấp tiền hàng tháng trước.
solvent | adjective | /ˈsɑːlvənt/ | having enough money to pay all debts | có khả năng thanh toán | The bank stayed solvent throughout the crisis. | Ngân hàng vẫn đủ khả năng thanh toán trong suốt khủng hoảng.
profitable | adjective | /ˈprɑːfɪtəbl/ | producing profit | có lãi | The export deal proved highly profitable. | Thương vụ xuất khẩu tỏ ra rất có lãi.
fiscal | adjective | /ˈfɪskl/ | relating to government money and taxes | thuộc tài chính nhà nước, tài khoá | The fiscal year begins in July for this firm. | Năm tài khoá của công ty này bắt đầu vào tháng Bảy.
liquid | adjective | /ˈlɪkwɪd/ | easily changed into cash | có tính thanh khoản | Keep enough liquid funds for daily payments. | Giữ đủ quỹ thanh khoản cho chi trả hằng ngày.
steady | adjective | /ˈstedi/ | not changing suddenly | ổn định, đều đặn | The fund has delivered steady returns for five years. | Quỹ mang lại lợi nhuận ổn định suốt năm năm.
overdue | adjective | /ˌoʊvərˈduː/ | not paid by the expected time | quá hạn thanh toán | Overdue invoices will carry a late fee. | Hoá đơn quá hạn sẽ bị tính phí trễ.
lucrative | adjective | /ˈluːkrətɪv/ | producing a lot of profit | sinh lời | A contract with the port proved extremely lucrative. | Hợp đồng với cảng tỏ ra cực kỳ sinh lời.
economical | adjective | /ˌiːkəˈnɑːmɪkl/ | avoiding waste and keeping costs low | tiết kiệm, kinh tế | This printer is economical on ink cartridges. | Máy in này tiết kiệm hộp mực.
monthly | adverb | /ˈmʌnθli/ | once every month | hằng tháng | Interest is credited monthly on savings accounts. | Lãi được ghi có hằng tháng vào tài khoản tiết kiệm.
by cheque | phrase | /baɪ tʃek/ | paid with a written bank order | bằng séc, bằng chi phiếu | Rent may be paid by cheque or bank transfer. | Tiền thuê có thể trả bằng séc hoặc chuyển khoản.
in the red | phrase | /ɪn ðə red/ | owing more money than is available | thua lỗ, âm tiền | The store ran in the red for its first year. | Cửa hàng kinh doanh thua lỗ trong năm đầu tiên.
pay off | phrase | /ˌpeɪ ˈɔːf/ | to pay the full amount still owed | trả hết nợ | They plan to pay off the car loan by December. | Họ định trả hết khoản vay mua xe trước tháng Mười Hai.
break even | phrase | /ˌbreɪk ˈiːvn/ | to earn exactly as much as is spent | hoà vốn | The café expects to break even by June. | Quán cà phê dự kiến hoà vốn vào tháng Sáu.
line of credit | phrase | /ˌlaɪn əv ˈkredɪt/ | an arrangement to borrow up to a fixed amount | hạn mức tín dụng | The business keeps a line of credit for emergencies. | Doanh nghiệp giữ một hạn mức tín dụng cho trường hợp khẩn cấp.
