museum | noun | /mjuˈziːəm/ | a building displaying historical or artistic objects | bảo tàng | The school group spent the morning at the natural history museum. | Nhóm học sinh đã dành cả buổi sáng ở bảo tàng lịch sử tự nhiên.
security guard | noun | /sɪˈkjʊrəti ɡɑːrd/ | a staff member protecting a building | nhân viên bảo vệ | A security guard watches the entrance around the clock. | Một nhân viên bảo vệ canh lối vào suốt ngày đêm.
gallery wall | noun | /ˈɡæləri wɔːl/ | a large wall surface for hanging artwork | tường trưng bày | The gallery wall was repainted in a neutral white tone. | Bức tường trưng bày được sơn lại bằng tông trắng trung tính.
spotlight | noun | /ˈspɑːtlaɪt/ | a lamp throwing a focused beam on an object | đèn rọi | A single spotlight highlights the bronze statue at night. | Một chiếc đèn rọi làm nổi bật bức tượng đồng về đêm.
bench | noun | /bentʃ/ | a long seat for several people | ghế dài | Visitors rest on the bench facing the main mural. | Khách tham quan nghỉ trên ghế dài đối diện bức bích họa chính.
turnstile | noun | /ˈtɜːrnstaɪl/ | a gate that admits one person at a time | cổng xoay | Please pass through the turnstile one at a time. | Xin vui lòng đi qua cổng xoay từng người một.
interactive kiosk | noun | /ˌɪntərˈæktɪv kiːˈɑːsk/ | a touchscreen terminal with maps and information | máy tra cứu cảm ứng | The interactive kiosk shows the fastest route to each wing. | Máy tra cứu cảm ứng hiển thị đường nhanh nhất tới mỗi khu.
donation box | noun | /doʊˈneɪʃn bɑːks/ | a container for voluntary money gifts | hộp quyên góp | Drop your spare coins into the donation box by the door. | Hãy bỏ tiền lẻ vào hộp quyên góp cạnh cửa.
cloakroom | noun | /ˈkloʊkruːm/ | a room for leaving coats and bags | phòng gửi áo khoác | Leave large backpacks at the cloakroom before entering. | Hãy gửi ba lô lớn ở phòng gửi áo khoác trước khi vào.
souvenir | noun | /ˌsuːvəˈnɪr/ | a small gift reminding you of a visit | quà lưu niệm | She bought a miniature vase as a souvenir of the trip. | Cô ấy đã mua một chiếc bình thu nhỏ làm quà lưu niệm của chuyến đi.
restoration | noun | /ˌrestəˈreɪʃn/ | the work of repairing old artworks | phục chế | The restoration of the damaged fresco took two years. | Việc phục chế bức bích họa bị hỏng mất hai năm.
archway | noun | /ˈɑːrtʃweɪ/ | a curved opening leading to another room | vòm cửa | A stone archway connects the two exhibition wings. | Một vòm cửa bằng đá nối hai khu triển lãm.
emergency exit | noun | /ɪˈmɜːrdʒənsi ˈeksɪt/ | a door for leaving quickly in danger | cửa thoát hiểm | Follow the green signs to the nearest emergency exit. | Hãy đi theo biển xanh tới cửa thoát hiểm gần nhất.
mural | noun | /ˈmjʊrəl/ | a large painting made directly on a wall | bích họa | The mural on the east wall shows village life. | Bức bích họa trên tường phía đông tái hiện đời sống làng quê.
