depot | noun | /ˈdiːpoʊ/ | a place where goods or vehicles are kept | trạm tập kết | The depot opens at half past five. | Trạm tập kết mở cửa lúc năm giờ rưỡi.
load | verb | /loʊd/ | to put goods onto a vehicle | xếp hàng lên xe | They loaded the truck before dawn. | Họ xếp hàng lên xe trước lúc rạng sáng.
unload | verb | /ˌʌnˈloʊd/ | to take goods off a vehicle | dỡ hàng xuống | Two staff unloaded the container. | Hai nhân viên dỡ hàng khỏi container.
store | verb | /stɔːr/ | to keep something in a place until it is needed | lưu kho | Fragile items are stored on the lower shelves. | Hàng dễ vỡ được lưu ở kệ dưới.
consolidate | verb | /kənˈsɑːlɪdeɪt/ | to combine several loads into one | gom chung | We consolidate small orders into one weekly truck. | Chúng tôi gom các đơn nhỏ vào một chuyến xe mỗi tuần.
restock | verb | /ˌriːˈstɑːk/ | to fill up a supply of goods again | nhập hàng bổ sung | The shelves are restocked every Monday. | Kệ hàng được nhập bổ sung mỗi thứ Hai.
expedite | verb | /ˈekspədaɪt/ | to make something happen faster | đẩy nhanh | We paid extra to expedite the delivery. | Chúng tôi trả thêm để đẩy nhanh việc giao hàng.
reroute | verb | /ˌriːˈruːt/ | to send something by a different way | đổi tuyến | The flood forced the driver to reroute. | Trận lụt buộc tài xế phải đổi tuyến.
inspect | verb | /ɪnˈspekt/ | to look at something carefully to check it | kiểm tra | An officer inspected every carton. | Một cán bộ kiểm tra từng thùng các tông.
damage | verb | /ˈdæmɪdʒ/ | to harm something so it is less useful | làm hư hỏng | Rain damaged the labels on the boxes. | Mưa làm hỏng nhãn trên các thùng hàng.
perishable | adjective | /ˈperɪʃəbl/ | likely to go bad quickly | dễ hư hỏng | Perishable goods travel in a cooled truck. | Hàng dễ hư hỏng đi bằng xe có làm lạnh.
bulky | adjective | /ˈbʌlki/ | large and awkward to move | cồng kềnh | Bulky items need two people to lift. | Hàng cồng kềnh cần hai người để nâng.
fragile | adjective | /ˈfrædʒaɪl/ | easily broken | dễ vỡ | Mark the box fragile before it is loaded. | Đánh dấu dễ vỡ lên thùng trước khi xếp lên xe.
traceable | adjective | /ˈtreɪsəbl/ | able to be followed and found | truy được vết | Every parcel is traceable from the moment it leaves. | Mọi kiện hàng đều truy được vết từ lúc rời kho.
outstanding | adjective | /aʊtˈstændɪŋ/ | not yet paid or not yet done | còn tồn đọng, chưa thanh toán | Two invoices are still outstanding. | Hai hoá đơn vẫn chưa được thanh toán.
in transit | phrase | /ɪn ˈtrænzɪt/ | being moved from one place to another | đang trên đường vận chuyển | The parcel is in transit and arrives Thursday. | Kiện hàng đang trên đường và tới vào thứ Năm.
hold up | phrase | /hoʊld ʌp/ | to delay something or someone | làm chậm trễ | Bad weather held up every northern route. | Thời tiết xấu làm chậm trễ mọi tuyến phía bắc.
on schedule | phrase | /ɑːn ˈskedʒuːl/ | happening at the planned time | đúng lịch | The vessel is still on schedule. | Con tàu vẫn đi đúng lịch.
back order | phrase | /bæk ˈɔːrdər/ | an order that cannot be filled until stock arrives | đơn chờ hàng về | Your item is on back order for two weeks. | Món hàng của bạn phải chờ hàng về trong hai tuần.
sign for | phrase | /saɪn fɔːr/ | to write your name to show you received something | ký nhận | Someone must sign for the package. | Phải có người ký nhận kiện hàng.
pick up | phrase | /pɪk ʌp/ | to collect something or someone | lấy, đón | The driver will pick up the pallets at noon. | Tài xế sẽ tới lấy pa lét lúc trưa.
handling | noun | /ˈhændlɪŋ/ | the moving and care of goods | việc bốc dỡ, xử lý hàng | Careful handling keeps breakages low. | Bốc dỡ cẩn thận giữ tỷ lệ vỡ hàng ở mức thấp.
