take a break | take | take | VERB_NOUN | nghỉ giải lao | Take a break now and let your stress melt away! | Vui lòng nghỉ giải lao và để căng thẳng tan biến. | make,do,get
go astray | go | go | VERB_NOUN | đi sai đường; lạc lối | We went astray but a man redirected us. 2. Parents must do more to ensure teens do not go astray. 3. The money seems to have gone astray. | Chúng tôi đã đi sai đường nhưng một người đàn ông đã chỉ lại đường. | come,get,make
go to bed | go | go | VERB_PREP | đi ngủ | It’s almost midnight, and we must go to bed. | Đã gần nửa đêm và chúng ta phải đi ngủ. | come,get,make
go bald | go | go | VERB_ADJ | bị hói | Many men go bald because of an inherited condition. | Nhiều người đàn ông bị hói do một tình trạng di truyền. | come,get,make
go bankrupt | go | go | VERB_ADJ | phá sản | When you go bankrupt you will get a bankruptcy trustee | Khi phá sản, bạn sẽ có người quản lý thủ tục phá sản. | come,get,make
go blind | go | go | VERB_ADJ | bị mù | The disease made her go blind in one eye. | Căn bệnh khiến cô ấy mù một mắt. | come,get,make
go crazy | go | go | VERB_ADJ | phát điên | Don’t go crazy trying to find the right words | Đừng phát điên khi cố tìm từ thích hợp. | come,get,make
go deaf | go | go | VERB_ADJ | bị điếc | He was trying to hang on to his hearing in fear of going deaf. | Anh ấy sợ bị điếc và mất khả năng nghe. | come,get,make
go fishing | go | go | VERB_NOUN | đi câu cá | I would go mad if I had to stay in bed for three weeks. | Anh ấy chắc chắn đã đi câu cá. | come,get,make
go mad | go | go | VERB_ADJ | phát điên | I would go mad if I had to stay in bed for three weeks. | Tôi sẽ phát điên nếu phải nằm trên giường ba tuần. | come,get,make
go missing | go | go | VERB_ADJ | mất tích | Two people went missing while swimming at Hoàng Kiếm Lake. | Hai người mất tích khi đang bơi ở hồ Hoàn Kiếm. | come,get,make
go on foot | go | go | VERB_PREP | đi bộ | Children go to school on foot (/walk to school) | Trẻ em đi học bằng cách đi bộ. | come,get,make
go online | go | go | VERB_NOUN | lên mạng | I need to go online every single day. | Tôi cần lên mạng mỗi ngày. | come,get,make
go out of business | go | go | VERB_PREP | đóng cửa vì làm ăn thua lỗ | I have to work hard to keep from going out of business. | Tôi phải làm việc chăm chỉ để tránh doanh nghiệp đóng cửa. | come,get,make
go overseas | go | go | VERB_NOUN | đi nước ngoài | Many more people go overseas these days . | Ngày nay có nhiều người đi nước ngoài hơn. | come,get,make
go sailing | go | go | VERB_NOUN | đi thuyền buồm | When we woke up this morning, paradise seemed to demand that we go sailing. | Buổi sáng ấy, chúng tôi đi thuyền buồm. | come,get,make
go to war | go | go | VERB_PREP | tham chiến | What happens to the US when Vietnam goes to war with China? | Điều gì xảy ra nếu Hoa Kỳ tham chiến với Trung Quốc? | come,get,make
keep a diary | keep | keep | VERB_NOUN | giữ nhật ký | I have kept a diary since the age of 16. | Tôi đã giữ nhật ký từ năm mười sáu tuổi. | make,hold,take
keep a secret | keep | keep | VERB_NOUN | giữ bí mật | Three can keep a secret, if two of them are dead. | Ba người có thể giữ bí mật nếu hai người trong số họ đã chết. | make,hold,take
keep a promise | keep | keep | VERB_NOUN | giữ lời hứa | If you can’t keep a promise then don’t make one. | Nếu không giữ được lời hứa thì đừng hứa. | hold,hear,do
keep an appointment | keep | keep | VERB_NOUN | giữ cuộc hẹn | If you are unable to keep an appointment, please notify us within 24 hours. | Nếu không thể giữ cuộc hẹn, hãy báo trước trong vòng 24 giờ. | make,hold,take
keep calm | keep | keep | VERB_NOUN | giữ bình tĩnh | Now keep calm everyone, the police are on their way. | Mọi người hãy bình tĩnh; cảnh sát đang trên đường. | make,hold,take
keep control | keep | keep | VERB_NOUN | giữ quyền kiểm soát | U.S. should keep control of Internet. | Bạn cần giữ quyền kiểm soát tình hình. | make,hold,take
keep in touch | keep | keep | VERB_NOUN | giữ liên lạc | When friends move away, it’s hard to keep in touch with them. | Khi bạn bè chuyển đi, rất khó giữ liên lạc. | make,hold,take
keep quiet | keep | keep | VERB_NOUN | giữ yên lặng | if they keep quiet, the stones will cry out. | Nếu họ giữ im lặng, mọi chuyện sẽ ổn. | make,hold,take
keep the change | keep | keep | VERB_NOUN | giữ tiền thối | Here’s five dollars, and keep the change. | Đây là năm đô la, hãy giữ tiền thối. | make,hold,take
pay a fine | pay | pay | VERB_NOUN | nộp tiền phạt | Vinnie, pay attention to what you’re doing! | Tôi thà nộp tiền phạt còn hơn xin lỗi. | make,take,do
pay attention | pay | pay | VERB_NOUN | chú ý | Vinnie, pay attention to what you’re doing! | Hãy chú ý đến việc bạn đang làm. | make,take,do
pay by credit card | pay | pay | VERB_PREP | trả bằng thẻ tín dụng | You may choose to pay by credit card. instead of cash or check. | Bạn có thể chọn trả bằng thẻ tín dụng thay vì tiền mặt hoặc séc. | make,take,do
pay cash | pay | pay | VERB_NOUN | trả tiền mặt | Should I finance or pay cash for a vehicle? | Bạn muốn trả tiền mặt cho chiếc xe hay vay tài chính? | make,take,do
pay interest | pay | pay | VERB_NOUN | trả tiền lãi | They must pay interest on the money that they borrow. | Họ phải trả tiền lãi cho khoản tiền đã vay. | make,take,do
pay a compliment | pay | pay | VERB_NOUN | đưa lời khen | I wanna pay a compliment to ANCNV. | Tôi muốn dành một lời khen cho ANCNV. | make,take,do
pay a visit | pay | pay | VERB_NOUN | đến thăm | Please pay a visit to our house whenever you are in town. | Hãy ghé thăm nhà chúng tôi khi bạn ở trong thành phố. | make,take,do
pay the bill | pay | pay | VERB_NOUN | thanh toán hóa đơn | You can pay the bill online. | Bạn có thể thanh toán hóa đơn trực tuyến. | make,take,do
pay the price | pay | pay | VERB_NOUN | trả giá; gánh hậu quả | Oh, my head! I am paying the price for drinking too much last night. | Tôi đang phải gánh hậu quả vì đã uống quá nhiều tối qua. | make,take,do
save energy | save | save | VERB_NOUN | tiết kiệm năng lượng | One of the easiest ways to save energy is to use your body properly. | Một trong những cách dễ nhất để tiết kiệm năng lượng là sử dụng cơ thể đúng cách. | keep,make,spend
save money | save | save | VERB_NOUN | tiết kiệm tiền | You’ll be more likely to save money if you make it a priority. | Bạn sẽ dễ tiết kiệm tiền hơn nếu coi đó là ưu tiên. | keep,spend,waste
save one’s strength | save | save | VERB_NOUN | giữ sức | Animals have to save their strength, and wait for the perfect moment to strike at their prey. | Động vật phải giữ sức và chờ thời điểm hoàn hảo để tấn công con mồi. | keep,make,spend
save someone a seat | save | save | VERB_NOUN | dành chỗ cho ai | Sandy, you just make sure to save me a seat at the table. | Hãy nhớ dành cho tôi một chỗ ngồi ở bàn. | keep,make,spend
save someone’s life | save | save | VERB_NOUN | cứu mạng ai đó | I have donated my blood to save someone’s life. | Tôi đã hiến máu để cứu mạng một người. | keep,make,spend
save something to a disk | save | save | VERB_PREP | lưu thứ gì vào đĩa | Once you’ve entered all the code, save the code to a disk | Sau khi nhập toàn bộ mã, hãy lưu mã vào đĩa. | keep,make,spend
save space | save | save | VERB_NOUN | tiết kiệm không gian | Roll your clothes to save space. | Gấp quần áo để tiết kiệm không gian. | keep,make,spend
save time | save | save | VERB_NOUN | tiết kiệm thời gian | Buy online and save time and money! | Mua hàng trực tuyến để tiết kiệm thời gian và tiền bạc. | keep,make,spend
save yourself the trouble | save | save | VERB_NOUN | tránh cho bản thân rắc rối | Save yourself the trouble and don’t stay here!!. | Đừng ở lại đây; như vậy bạn sẽ tránh được rắc rối. | keep,make,spend
a big accomplishment | big | big | ADJ_NOUN | một thành quả lớn | Graduating high school was a big accomplishment for me. | Tốt nghiệp trung học là một thành quả lớn đối với tôi. | large,great,strong
a big decision | big | big | ADJ_NOUN | một quyết định lớn | Ngọc has a big decision to make. | Ngọc có một quyết định lớn cần đưa ra. | large,great,strong
a big disappointment | big | big | ADJ_NOUN | một sự thất vọng lớn | Your odyssey of hope is nothing but a big disappointment. | Chuyến đi đầy hy vọng của bạn chỉ là một sự thất vọng lớn. | large,great,strong
a big failure | big | big | ADJ_NOUN | một thất bại lớn | I believe that multiculturalism is a big failure. | Tôi tin chủ nghĩa đa văn hóa là một thất bại lớn. | large,great,strong
a big improvement | big | big | ADJ_NOUN | một sự cải thiện lớn | There’s been a big improvement in the children’s behaviour. | Có một sự cải thiện lớn trong hành vi của trẻ. | large,great,strong
a big mistake | big | big | ADJ_NOUN | một sai lầm lớn | Voting for Obama was a big mistake. | Bỏ phiếu cho Obama là một sai lầm lớn. | large,great,strong
a big surprise | big | big | ADJ_NOUN | một bất ngờ lớn | Life is a big surprise. | Cuộc sống là một bất ngờ lớn. | large,great,strong
a big eater | big | big | ADJ_NOUN | người ăn nhiều | I am not a big eater, but I can’t lose weight. | Tôi không ăn nhiều nhưng vẫn không thể giảm cân. | large,great,strong
a big dreamer | big | big | ADJ_NOUN | người có ước mơ lớn | I am a big dreamer and my dreams turn to reality a lot of the times. | Tôi là người có ước mơ lớn và nhiều ước mơ đã thành hiện thực. | large,great,strong
a big drinker | big | big | ADJ_NOUN | người uống rượu nhiều | I am not a big drinker, but when I go out I like Heineken. | Tôi không uống nhiều, nhưng khi ra ngoài tôi thích Heineken. | large,great,strong
a big spender | big | big | ADJ_NOUN | người tiêu tiền nhiều | Man, I’m a big spender and I got money all in my pocket. | Tôi tiêu tiền rất nhiều và tiền luôn ở trong túi. | large,great,strong
a big talker | big | big | ADJ_NOUN | người nói khoác | That dude over there is a big talker. | Anh chàng kia là một người rất hay nói khoác. | large,great,strong
great admiration | great | great | ADJ_NOUN | sự ngưỡng mộ lớn | I have great admiration for him. | Tôi rất ngưỡng mộ anh ấy. | big,strong,large
great anger | great | great | ADJ_NOUN | sự giận dữ lớn | A man of great anger will bear the penalty. | Một người quá tức giận sẽ phải chịu hậu quả. | big,strong,large
great enjoyment | great | great | ADJ_NOUN | sự thích thú lớn | Hunting is his greatest enjoyment. | Săn bắn là niềm thích thú lớn nhất của anh ấy. | big,strong,large
great excitement | great | great | ADJ_NOUN | sự phấn khích lớn | Video games are great fun for kids and adults as well! | Tin tức khiến bạn bè cô ấy vô cùng phấn khích. | big,strong,large
great fun | great | great | ADJ_NOUN | niềm vui lớn | Video games are great fun for kids and adults as well! | Trò chơi điện tử rất vui đối với cả trẻ em và người lớn. | big,strong,large
great happiness | great | great | ADJ_NOUN | hạnh phúc lớn | Only love can bring peace and great happiness in this world. | Chỉ tình yêu mới có thể mang lại bình yên và hạnh phúc lớn. | big,strong,large
great joy | great | great | ADJ_NOUN | niềm vui lớn | Your love has given me great joy and encouragement. | Tình yêu của bạn đã mang lại cho tôi niềm vui và sự động viên lớn. | big,strong,large
in great detail | great | great | PREP_PHRASE | hết sức chi tiết | We have explained that in great detail. | Chúng tôi đã giải thích điều đó hết sức chi tiết. | big,strong,large
great power | great | great | ADJ_NOUN | quyền lực lớn | Knowledge is a great power. Do you agree with me? | Kiến thức là một quyền lực lớn. | big,strong,large
great pride | great | great | ADJ_NOUN | niềm tự hào lớn | She took great pride in her sons. | Cô ấy rất tự hào về các con trai của mình. | big,strong,large
great sensitivity | great | great | ADJ_NOUN | sự nhạy cảm cao | You don’t need great skill to be a great artist. | Cô ấy xử lý tình huống với sự nhạy cảm cao. | big,strong,large
great skill | great | great | ADJ_NOUN | kỹ năng cao | You don’t need great skill to be a great artist. | Bạn không cần kỹ năng cao để trở thành một nghệ sĩ giỏi. | big,strong,large
great strength | great | great | ADJ_NOUN | sức mạnh lớn | Sacrifice gives us great strength. | Sự hy sinh mang lại cho chúng ta sức mạnh lớn. | big,strong,large
great understanding | great | great | ADJ_NOUN | sự hiểu biết sâu rộng | Whoever is patient has great understanding, but one who is quick-tempered displays folly. | Người kiên nhẫn có sự hiểu biết sâu rộng, còn người nóng tính thì thiếu sáng suốt. | big,strong,large
great wisdom | great | great | ADJ_NOUN | trí tuệ cao | Our present intellectual superiority is no guarantee of great wisdom or survival. | Trí tuệ cao không phải lúc nào cũng bảo đảm sự sống còn. | big,strong,large
a large amount | large | large | ADJ_NOUN | một số lượng lớn | I am getting a large amount of money in my saving account. | Tôi đang nhận một số tiền lớn vào tài khoản tiết kiệm. | great,big,high
a large collection | large | large | ADJ_NOUN | một bộ sưu tập lớn | Vinnie has a large collection of famous love quotes and sayings. | Vinnie có một bộ sưu tập lớn các câu nói nổi tiếng về tình yêu. | great,big,high
a large number (of) | large | large | ADJ_NOUN | một số lượng lớn | Vinnie catches a large number of fish every day. | Vinnie bắt được một số lượng lớn cá mỗi ngày. | great,big,high
a large population | large | large | ADJ_NOUN | dân số lớn | Water covers a large proportion of the earth’s surface. | Tại sao Trung Quốc lại phát triển một dân số lớn như vậy? | great,big,high
a large proportion | large | large | ADJ_NOUN | một tỷ lệ lớn | Water covers a large proportion of the earth’s surface. | Nước bao phủ một phần lớn bề mặt Trái Đất. | great,big,high
a large quantity | large | large | ADJ_NOUN | một số lượng lớn | A large quantity of heroin was discovered by police. | Cảnh sát phát hiện một số lượng lớn ma túy. | great,big,high
a large scale | large | large | ADJ_NOUN | quy mô lớn | When planning a large scale event there are many more issues to keep in mind. | Khi tổ chức sự kiện quy mô lớn, có nhiều vấn đề hơn cần lưu ý. | great,big,high
strong argument | strong | strong | ADJ_NOUN | lập luận mạnh mẽ | After making a strong argument, let your opponent do all the talking. | Sau khi đưa ra một lập luận mạnh mẽ, hãy để đối phương nói. | big,great,heavy
strong emphasis | strong | strong | ADJ_NOUN | sự nhấn mạnh mạnh mẽ | There is a strong emphasis on math and science at the school. | Trường học đặc biệt nhấn mạnh toán học và khoa học. | big,great,heavy
